input,target
카메라을 헬스장에 두고 온 것 같습니다.,카메라을 헬스장에 두고 온 것 같노ㅎㅎ
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 쪼끔 더 자세히 해 주실 수 있노?ㅎㅎ
카페에 저녁에 도착하겠습니다.,카페에 저녁에 도착하겠노
카메라을 버정에 두고 온 것 같습니다.,카메라을 버정에 두고 온 것 같누
카메라 배터리가 너무 빨리 닳습니다.,카메라 배터리가 너무 빨리 닳노ㄷㄷ
테니스 연습은 잘 되고 있습니까?,테니스 연습은 잘 되고 있노?!!
오늘 카페 근처에 계신가요?,오늘 카페 근처에 있노?ㄷㄷ
이 떡볶이은 정말 맛있습니다.,이 떡볶이은 진짜 존맛누
사탐 숙제를 아직 제출하지 못했습니다.,사탐 숙제를 아직 제출하지 못했노ㅋㅋ
내일에 회의 일정을 조율하겠습니다.,내일에 회의 일정을 조율하겠누ㅋㅋ
지금 통화 가능하신가요?,지금 통화 가능하노?
도서관에 점심에 도착하겠습니다.,도서관에 점심에 도착하겠누
지갑을 카페에 두고 온 것 같습니다.,지갑을 카페에 두고 온 것 같노
오늘 농구 경기가 정말 재미있었습니다.,오늘 농구 경기가 개 꿀잼었누
탭을 헬스장에 두고 온 것 같습니다.,탭을 헬스장에 두고 온 것 같누ㅋㅋㅋ
이어폰 배터리가 너무 빨리 닳습니다.,이어폰 배터리가 너무 빨리 닳노
주말에 면접이 있으니 늦지 말아 주세요.,주말에 면접이 있으니 늦지 말아 줘누
문서를 검토한 뒤 회신드리겠습니다.,문서를 검토한 뒤 회신드리겠노ㅋㅋㅋ
주말에 헬스장에서 뵙겠습니다.,주말에 헬스장에서 뵙겠누!!
다음 주에 발표이 있으니 늦지 말아 주세요.,다음 주에 발표이 있으니 늦지 말아 줘누ㄷㄷ
오늘 인천 날씨가 정말 좋습니다.,오늘 인천 날씨가 존나 지리누
책을 어디에 두셨는지 기억나십니까?,책을 어디에 두셨는지 기억나십니까노?ㄷㄷ
주말에 회의 일정을 조율하겠습니다.,주말에 회의 일정을 조율하겠누!!
약속 시간이 조금 빠듯합니다.,약속 시간이 쬐끔 빠듯누ㅋㅋㅋ
가격이 다소 높은 편입니다.,가격이 좀 높은 편누ㅎㅎ
도움 주셔서 진심으로 감사합니다.,도움 주셔서  감사노ㄷㄷ
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 진짜 개꿀잼었누
회의 자료를 공유해 주시겠어요?,회의 자료를 공유해 줄래노?ㅎㅎ
이어폰을 공원에 두고 온 것 같습니다.,이어폰을 공원에 두고 온 것 같누
밤에 회의 일정을 조율하겠습니다.,밤에 회의 일정을 조율하겠누!!
밤에 발표이 있으니 늦지 말아 주세요.,밤에 발표이 있으니 늦지 말아 줘노
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 겁나 쩔누
사진을 첨부해 드렸습니다.,사진을 첨부해 드렸누ㅋㅋㅋ
다음 주에 학교에서 뵙겠습니다.,다음 주에 학교에서 뵙겠노
다음 주에 집에서 뵙겠습니다.,다음 주에 집에서 뵙겠노
파일을 다시 업로드해 주시겠어요?,파일을 다시 업로드해 줄래노?ㅋㅋ
폰을 도서관에 두고 온 것 같습니다.,폰을 도서관에 두고 온 것 같노
롤 실력이 매우 늘었습니다.,롤 실력이 겁나 늘었누ㄷㄷ
약속 시간이 조금 빠듯합니다.,약속 시간이 쬐끔 빠듯노ㅎㅎ
러닝 연습은 잘 되고 있습니까?,러닝 연습은 잘 되고 있노?ㅎㅎ
이어폰을 카페에 두고 온 것 같습니다.,이어폰을 카페에 두고 온 것 같노
약속 시간이 조금 빠듯합니다.,약속 시간이 쪼끔 빠듯누ㄷㄷ
오늘 대구 날씨가 정말 좋습니다.,오늘 대구 날씨가 진짜 지리노
오늘 밤에 운동하실 수 있나요?,오늘 밤에 운동하실 수 있노?!!
평일에 카페에서 뵙겠습니다.,평일에 카페에서 뵙겠노ㅎㅎ
오늘 인천 날씨가 정말 좋습니다.,오늘 인천 날씨가 진짜 지리누!!
